survey_id,species_name,scientific_name,family,iucn_status,count
1503,Takur Tenggeret,Psilopogon australis,NA,Least concern,1
1503,Takur Ungkut Ungkut,Psilopogon haemacephalus,NA,Least concern,1
1503,Walik Kembang,Ptilinopus melanospilus,NA,Least concern,1
1503,Wiwik Rimba,Cacomantis variolosus,NA,Least concern,1
1504,Bajing Terbang Jawa,Iomys horsfieldii,NA,Least concern,1
1063,Delimukan Zamrud,Chalcophaps indica,NA,Least concern,1
1063,Kedasi Hitam,Surniculus lugubris,NA,Least concern,1
1063,Merbah Corok Corok,Pycnonotus simplex,NA,Least concern,1
1063,Paok Pancawarna,Hydrornis guajanus,NA,Least concern,1
1063,Pijantung Kecil,Arachnothera longirostra,NA,Least concern,1
1063,Sepah Kecil,Pericrocotus cinnamomeus,NA,Least concern,1
1063,Serindit Jawa,Loriculus pusillus,NA,Near Threatened,1
1063,Takur Tenggeret,Psilopogon australis,NA,Least concern,1
1063,Takur Tulung Tumpuk,Psilopogon javensis,NA,Least concern,1
1167,Cucak Kuning,Rubigula dispar,NA,Vulnerable,1
1167,Merbah Corok Corok,Pycnonotus simplex,NA,Least concern,1
1167,Pijantung Kecil,Arachnothera longirostra,NA,Least concern,1
1167,Takur Tenggeret,Psilopogon australis,NA,Least concern,2
1275,Takur Tenggeret,Psilopogon australis,NA,Least concern,1
1275,Takur Tulung Tumpuk,Psilopogon javensis,NA,Least concern,1
1390,Cipoh Kacat,Aegithina tiphia,NA,Least concern,1
1390,Merbah Corok Corok,Pycnonotus simplex,NA,Least concern,1
1390,Punai Penganten,Treron griseicauda,NA,Least concern,1
1390,Sikatan Burik,Muscicapa griseisticta,NA,Least concern,1
1390,Takur Tulung Tumpuk,Psilopogon javensis,NA,Least concern,1
1505,Burung Madu Kelapa,Anthreptes malacensis,NA,Least concern,1
1505,Cinenen Pisang,Orthotomus sutorius,NA,Least concern,1
1505,Cucak Kutilang,Pycnonotus aurigaster,NA,Least concern,1
1505,Kancilan Bakau,Pachycephala cinerea,NA,Least concern,1
1505,Merbah Corok Corok,Pycnonotus simplex,NA,Least concern,1
1505,Pijantung Kecil,Arachnothera longirostra,NA,Least concern,1
1505,Takur Tenggeret,Psilopogon australis,NA,Least concern,1
1505,Walet Linci,Collocalia linchi,NA,Least concern,1
1064,Cinenen Pisang,Orthotomus sutorius,NA,Least concern,1
1064,Cucak Kutilang,Pycnonotus aurigaster,NA,Least concern,1
1064,Jingjing Batu,Hemipus hirundinaceus,NA,Least concern,1
1064,Merbah Corok Corok,Pycnonotus simplex,NA,Least concern,1
1064,Takur Tenggeret,Psilopogon australis,NA,Least concern,1
1168,Cipoh Kacat,Aegithina tiphia,NA,Least concern,1
1168,Takur Tenggeret,Psilopogon australis,NA,Least concern,1
1168,Walet Linci,Collocalia linchi,NA,Least concern,1
1276,Elang Ular Bido,Spilornis cheela,NA,Least concern,1
1276,Takur Tenggeret,Psilopogon australis,NA,Least concern,1
1391,Cekakak Jawa,Halcyon cyanoventris,NA,Least concern,1
1391,Cinenen Pisang,Orthotomus sutorius,NA,Least concern,1
1391,Cipoh Kacat,Aegithina tiphia,NA,Least concern,1
1391,Takur Tenggeret,Psilopogon australis,NA,Least concern,1
1391,Takur Ungkut Ungkut,Psilopogon haemacephalus,NA,Least concern,1
1506,Burung Madu Kelapa,Anthreptes malacensis,NA,Least concern,1
1506,Cabai Jawa,Dicaeum trochileum,NA,Least concern,1
1506,Cinenen Pisang,Orthotomus sutorius,NA,Least concern,1
1506,Cipoh Kacat,Aegithina tiphia,NA,Least concern,1
1506,Cucak Kutilang,Pycnonotus aurigaster,NA,Least concern,1
1506,Sepah Kecil,Pericrocotus cinnamomeus,NA,Least concern,1
1506,Walet Linci,Collocalia linchi,NA,Least concern,1
1506,Walik Kembang,Ptilinopus melanospilus,NA,Least concern,1
1065,Cabai Bunga Api,Dicaeum trigonostigma,NA,Least concern,1
1065,Cekakak Sungai,Todiramphus chloris,NA,Least concern,1
1065,Cucak Kutilang,Pycnonotus aurigaster,NA,Least concern,1
1065,Kedasi Hitam,Surniculus lugubris,NA,Least concern,1
1065,Merbah Corok Corok,Pycnonotus simplex,NA,Least concern,1
1065,Paok Pancawarna,Hydrornis guajanus,NA,Least concern,1
1277,Cipoh Kacat,Aegithina tiphia,NA,Least concern,1
1277,Jingjing Batu,Hemipus hirundinaceus,NA,Least concern,1
1277,Merbah Corok Corok,Pycnonotus simplex,NA,Least concern,1
1392,Cabai Bunga Api,Dicaeum trigonostigma,NA,Least concern,1
1392,Cipoh Kacat,Aegithina tiphia,NA,Least concern,1
1392,Punai Penganten,Treron griseicauda,NA,Least concern,1
1392,Takur Tenggeret,Psilopogon australis,NA,Least concern,1
1507,Burung Madu Kelapa,Anthreptes malacensis,NA,Least concern,1
1507,Cabai Bunga Api,Dicaeum trigonostigma,NA,Least concern,1
1507,Cekakak Jawa,Halcyon cyanoventris,NA,Least concern,1
1507,Cinenen Pisang,Orthotomus sutorius,NA,Least concern,1
1507,Cipoh Kacat,Aegithina tiphia,NA,Least concern,1
1507,Kancilan Bakau,Pachycephala cinerea,NA,Least concern,1
1507,Paok Pancawarna,Hydrornis guajanus,NA,Least concern,1
1507,Pelanduk Topi Jawa,Pellorneum capistratum,NA,Least concern,1
1507,Pijantung Kecil,Arachnothera longirostra,NA,Least concern,1
1507,Serindit Jawa,Loriculus pusillus,NA,Near Threatened,1
1507,Takur Tenggeret,Psilopogon australis,NA,Least concern,1
1507,Walet Linci,Collocalia linchi,NA,Least concern,1
1507,Walik Kembang,Ptilinopus melanospilus,NA,Least concern,1
1507,Wiwik Lurik,Cacomantis sonneratii,NA,Least concern,1
1507,Wiwik Rimba,Cacomantis variolosus,NA,Least concern,1
1393,Codot krawar,Cynopterus brachyotis,NA,Least concern,1
1066,Cabai Bunga Api,Dicaeum trigonostigma,NA,Least concern,1
1066,Cinenen Pisang,Orthotomus sutorius,NA,Least concern,1
1066,Cipoh Kacat,Aegithina tiphia,NA,Least concern,1
1066,Pijantung Kecil,Arachnothera longirostra,NA,Least concern,1
1066,Takur Tenggeret,Psilopogon australis,NA,Least concern,1
1066,Takur Tulung Tumpuk,Psilopogon javensis,NA,Least concern,1
1169,Bondol Jawa,Lonchura leucogastroides,NA,Least concern,1
1278,Cabai Bunga Api,Dicaeum trigonostigma,NA,Least concern,1
1278,Jingjing Batu,Hemipus hirundinaceus,NA,Least concern,1
1278,Takur Tenggeret,Psilopogon australis,NA,Least concern,1
1394,Bubut Besar,Centropus sinensis,NA,Least concern,1
1394,Cabai Bunga Api,Dicaeum trigonostigma,NA,Least concern,1
1394,Pijantung Kecil,Arachnothera longirostra,NA,Least concern,1
1394,Sepah Hutan,Pericrocotus flammeus,NA,Least concern,1
1394,Takur Tenggeret,Psilopogon australis,NA,Least concern,1
1508,Cabai Bunga Api,Dicaeum trigonostigma,NA,Least concern,1
1508,Cekakak Jawa,Halcyon cyanoventris,NA,Least concern,1
1508,Pijantung Kecil,Arachnothera longirostra,NA,Least concern,1
1508,Raja Udang Meninting,Alcedo meninting,NA,Least concern,1
1508,Takur Tenggeret,Psilopogon australis,NA,Least concern,1
1067,Cinenen Pisang,Orthotomus sutorius,NA,Least concern,1
1067,Merbah Corok Corok,Pycnonotus simplex,NA,Least concern,1
1067,Paok Pancawarna,Hydrornis guajanus,NA,Least concern,1
1067,Pijantung Kecil,Arachnothera longirostra,NA,Least concern,1
1067,Serindit Jawa,Loriculus pusillus,NA,Near Threatened,1
1067,Takur Tenggeret,Psilopogon australis,NA,Least concern,1
1067,Uncal Buau,Macropygia emiliana,NA,Least concern,1
1170,Cucak Kutilang,Pycnonotus aurigaster,NA,Least concern,1
